MGID,GHID,MXSineMax,MYSineMax,MXAcelMax,MYAcelMax,MZAcelMax,MXSineAvg,MYSineAvg,MXAcelAvg,MYAcelAvg,MZAcelAvg,MXSineMin,MYSineMin,MXAcelMin,MYAcelMin,MZAcelMin,MTime
8644,7,2.66E-02,3.36E-02,-2.11E-02,-7.41E-03,-3.70E-03,0.019649,0.023885,-2.22E-02,-9.13E-03,-5.64E-03,1.30E-02,0.014374,-0.023333,-1.07E-02,-7.41E-03,16:08.8
8645,5,1.68E-02,0.013925,9.63E-03,-1.33E-02,0,7.98E-03,0.006522,8.45E-03,-1.52E-02,-1.61E-03,-0.003055,-2.85E-03,7.04E-03,-0.017037,-0.003333,16:34.4
8646,6,0.015708,3.00E-02,-0.026667,-1.85E-02,-6.67E-03,7.91E-03,1.93E-02,-2.80E-02,-2.04E-02,-0.008286,3.44E-04,8.84E-03,-0.029259,-0.021852,-1.04E-02,16:34.4
8647,8,2.98E-02,3.08E-02,-2.96E-03,5.41E-02,7.41E-04,1.79E-02,2.10E-02,-4.46E-03,5.23E-02,-0.001127,6.51E-03,0.010022,-5.93E-03,5.07E-02,-0.003333,17:37.3
8648,7,2.69E-02,3.28E-02,-2.11E-02,-7.41E-03,-4.07E-03,1.89E-02,2.39E-02,-2.22E-02,-9.14E-03,-5.60E-03,1.20E-02,0.016298,-2.37E-02,-1.07E-02,-7.41E-03,26:38.7
8649,6,1.69E-02,2.95E-02,-0.026667,-1.85E-02,-5.93E-03,7.03E-03,1.86E-02,-2.80E-02,-0.020336,-8.30E-03,-0.003101,9.49E-03,-0.02963,-2.26E-02,-0.01,27:05.0
8650,5,1.73E-02,0.014877,9.63E-03,-1.33E-02,0,9.37E-03,7.10E-03,8.45E-03,-1.52E-02,-0.001616,-5.17E-04,-0.000252,7.41E-03,-0.017037,-0.003333,27:05.0
8651,8,0.028634,3.27E-02,-0.003333,5.41E-02,7.41E-04,0.017353,1.99E-02,-4.46E-03,5.23E-02,-0.001124,4.77E-03,7.32E-03,-5.93E-03,5.07E-02,-2.96E-03,28:05.8
8652,7,0.025516,3.07E-02,-2.07E-02,-7.41E-03,-4.07E-03,1.84E-02,2.24E-02,-0.02222,-9.15E-03,-5.62E-03,1.32E-02,0.011658,-2.37E-02,-1.11E-02,-7.04E-03,37:08.5
8653,6,0.014421,2.79E-02,-0.026667,-1.85E-02,-6.30E-03,6.32E-03,1.81E-02,-2.80E-02,-2.03E-02,-8.30E-03,-3.24E-03,8.45E-03,-0.029259,-2.22E-02,-0.01,37:35.7
8654,5,1.99E-02,1.89E-02,9.63E-03,-1.33E-02,0,1.18E-02,8.69E-03,8.46E-03,-1.52E-02,-1.61E-03,5.33E-03,0.00031,6.67E-03,-0.017037,-3.70E-03,37:35.7
8655,8,0.027489,3.12E-02,-2.96E-03,5.41E-02,7.41E-04,1.78E-02,2.01E-02,-4.44E-03,5.23E-02,-1.13E-03,7.66E-03,0.007587,-5.93E-03,5.07E-02,-2.96E-03,38:34.3
8656,7,2.60E-02,3.14E-02,-2.07E-02,-7.04E-03,-3.70E-03,0.018688,2.25E-02,-2.22E-02,-9.16E-03,-5.61E-03,0.011627,1.26E-02,-2.37E-02,-1.11E-02,-7.78E-03,47:38.4
8657,6,0.019254,2.73E-02,-0.026667,-1.85E-02,-6.30E-03,6.60E-03,1.81E-02,-0.028006,-2.03E-02,-8.30E-03,-1.05E-03,7.25E-03,-0.029259,-2.22E-02,-0.01,48:06.4
8658,5,1.77E-02,1.62E-02,9.63E-03,-1.33E-02,0,1.11E-02,8.38E-03,8.45E-03,-1.52E-02,-1.61E-03,2.26E-03,2.07E-03,7.41E-03,-0.017037,-0.003333,48:06.6
8659,8,3.11E-02,3.14E-02,-0.003333,5.41E-02,3.70E-04,1.95E-02,1.94E-02,-0.004431,5.23E-02,-0.001129,9.24E-03,8.44E-03,-5.56E-03,5.07E-02,-2.59E-03,49:02.7
8660,7,2.43E-02,3.06E-02,-2.11E-02,-7.41E-03,-4.07E-03,1.80E-02,0.021158,-2.22E-02,-9.17E-03,-5.61E-03,1.06E-02,0.013073,-2.37E-02,-1.07E-02,-7.41E-03,58:08.4
8661,6,0.01635,0.028475,-0.026667,-1.81E-02,-6.67E-03,7.12E-03,1.95E-02,-2.80E-02,-2.03E-02,-8.29E-03,-1.89E-03,8.47E-03,-0.029259,-2.22E-02,-0.01,58:37.0
8662,5,0.013979,1.51E-02,9.63E-03,-1.33E-02,0,7.97E-03,8.06E-03,8.46E-03,-0.015141,-1.61E-03,1.10E-03,5.09E-04,7.04E-03,-0.017037,-0.003333,58:37.3
8663,8,0.030844,3.32E-02,-2.96E-03,5.41E-02,7.41E-04,0.019448,0.020267,-4.43E-03,5.23E-02,-1.14E-03,8.09E-03,8.82E-03,-5.56E-03,5.04E-02,-2.96E-03,59:31.3
8664,7,2.46E-02,0.027538,-2.07E-02,-7.41E-03,-3.70E-03,0.017637,2.09E-02,-0.022199,-9.17E-03,-5.62E-03,1.09E-02,0.011431,-0.023333,-1.07E-02,-7.41E-03,08:38.4
8665,6,0.016732,3.10E-02,-0.026667,-1.85E-02,-6.67E-03,7.88E-03,2.06E-02,-2.80E-02,-0.02034,-8.31E-03,-0.00347,1.02E-02,-0.029259,-2.22E-02,-0.01,09:07.6
8666,5,1.52E-02,1.74E-02,0.01,-1.37E-02,3.70E-04,6.96E-03,7.83E-03,8.45E-03,-0.015145,-0.001603,-0.000861,-0.001439,7.04E-03,-1.67E-02,-0.003333,2020-01-29 12:09
8667,8,2.79E-02,3.08E-02,-2.96E-03,5.41E-02,7.41E-04,0.018657,0.020093,-0.004437,5.23E-02,-1.13E-03,0.009972,9.58E-03,-5.56E-03,5.07E-02,-2.96E-03,10:00.0
8668,7,2.62E-02,3.05E-02,-2.07E-02,-7.41E-03,-4.07E-03,1.96E-02,2.20E-02,-2.22E-02,-9.20E-03,-5.61E-03,0.012078,1.43E-02,-2.37E-02,-1.11E-02,-7.41E-03,19:08.4
8669,5,0.014596,0.016447,9.63E-03,-1.33E-02,3.70E-04,6.73E-03,8.55E-03,8.44E-03,-0.015129,-1.60E-03,0.000034,1.45E-03,7.04E-03,-1.67E-02,-0.003333,19:38.9
8670,6,1.60E-02,3.35E-02,-0.026667,-1.85E-02,-6.67E-03,8.34E-03,2.12E-02,-2.80E-02,-0.020312,-8.30E-03,-9.06E-04,8.50E-03,-0.02963,-0.021852,-1.04E-02,19:40.7
8671,8,0.027923,2.98E-02,-3.70E-04,5.41E-02,0.001111,1.90E-02,1.93E-02,-4.43E-03,5.23E-02,-0.001139,9.40E-03,9.26E-03,-5.93E-03,5.04E-02,-2.96E-03,20:28.5
8672,7,2.44E-02,2.88E-02,-2.07E-02,-7.78E-03,-3.70E-03,1.86E-02,0.020638,-2.22E-02,-9.20E-03,-5.60E-03,0.01302,0.011783,-2.37E-02,-1.11E-02,-7.04E-03,29:38.2
8673,6,0.017852,3.36E-02,-0.026667,-1.85E-02,-6.67E-03,0.007868,2.14E-02,-2.80E-02,-2.03E-02,-8.30E-03,7.09E-04,1.02E-02,-0.029259,-2.26E-02,-0.01,30:09.1
8674,5,1.41E-02,1.62E-02,0.01,-1.37E-02,3.70E-04,6.77E-03,8.09E-03,8.46E-03,-0.01512,-1.61E-03,-8.06E-04,-8.63E-04,7.04E-03,-1.67E-02,-0.003333,30:09.4
8675,8,0.026816,3.00E-02,-2.96E-03,5.41E-02,7.41E-04,1.75E-02,1.82E-02,-4.43E-03,5.23E-02,-1.13E-03,7.02E-03,6.47E-03,-5.93E-03,5.07E-02,-2.96E-03,30:56.9
8676,7,0.026626,2.79E-02,-2.07E-02,-7.41E-03,-3.70E-03,1.94E-02,2.01E-02,-0.022192,-9.21E-03,-5.62E-03,0.013138,0.011757,-2.37E-02,-1.11E-02,-7.04E-03,40:08.3
8677,6,1.54E-02,3.19E-02,-0.026667,-1.81E-02,-6.67E-03,7.72E-03,0.021505,-0.027982,-2.03E-02,-8.31E-03,-1.40E-03,1.11E-02,-0.02963,-2.22E-02,-0.01,40:39.8
8678,5,1.47E-02,1.61E-02,9.63E-03,-1.33E-02,0,6.20E-03,9.03E-03,8.46E-03,-0.015129,-1.61E-03,-2.14E-03,1.11E-03,7.04E-03,-0.017037,-0.003333,40:40.2
